Title,Summary,Time,Article Link
"Remembrance Day disrupted as protesters jeer Chinese national anthem
            ",Protesters see opportunity to get their message to the world but others question whether it was right thing to do at sombre memorial event,3 hours ago,https://scmp.com/print/news/hong-kong/politics/article/3037139/remembrance-day-hong-kong-briefly-interrupted-anti
"Hong Kong protesters stage flash-mob demonstrations as unrest enters sixth month
            ","Sunday’s mayhem – including ‘shopping tours’, trashed train stations and shops, tear gas and water cannons – follows peaceful mourning over death of student Chow Tsz-lok, with calls for another citywide strike on Monday.",3 hours ago,https://scmp.com/print/news/hong-kong/politics/article/3037138/hong-kong-protests-flash-mob-shopping-tours-trashed-train
"Saturday forum to discuss ways to help Hong Kong heal
            ","Local and overseas speakers discuss ways to encourage dialogue, reconciliation.",6 hours ago,https://scmp.com/print/news/hong-kong/politics/article/3037111/give-peace-chance-unrest-brings-new-group-together-find
"Chinese media from 30 countries condemn attack on Xinhua in Hong Kong
            ","Group led by International Daily News, which has links to Chinese state media, issues joint statement decrying ‘barbaric acts of the mob against the national news agency’.",10 Nov 2019 - 10:08PM,https://scmp.com/print/news/china/politics/article/3037124/chinese-media-30-countries-condemn-attack-xinhua-offices-hong
"HKUST classes suspended on Monday as campus recovers from vandalism
            ",University issues statement saying it is deeply saddened to see turmoil spread to city’s higher education institutions and also condemns ‘malicious’ attack of mainland Chinese student who was beaten up during forum on Wednesday.,10 Nov 2019 - 10:08PM,https://scmp.com/print/news/hong-kong/politics/article/3037125/classes-suspended-hong-kong-university-science-and
"Beijing ‘should give more details on Hong Kong national security plans’
            ","After a recent party plenum, Beijing called for stronger safeguards of national security. But former legislature president says leaders will need to elaborate on how they intend to bring them in.",10 Nov 2019 - 10:08PM,https://scmp.com/print/news/hong-kong/politics/article/3037123/beijing-should-give-more-details-hong-kong-national
"The Hong Kong protesters giving Singles’ Day a miss
            ","The e-commerce bonanza has become an international phenomenon, with US$30 billion of goods sold last year. But some shoppers in the city are shunning mainland Chinese businesses, no matter how big the discounts.",10 Nov 2019 - 6:54PM,https://scmp.com/print/news/hong-kong/politics/article/3037118/some-hong-kong-protesters-plan-give-taobaos-singles-day
"As it happened: protesters return to Tseung Kwan O car park after citywide flash mobs
            ","After a relatively peaceful Saturday, black-clad protesters are out on the streets again, with some holding demonstrations in shopping malls. ",5 hours ago,https://scmp.com/print/news/hong-kong/politics/article/3037094/protesters-return-shopping-across-five-districts-hong-kong
"Emergency services turn on each other at Hong Kong protest
            ",Police and fire departments release second joint statement in a week after tensions boil over again between their staff during a demonstration in Tuen Mun.,3 hours ago,https://scmp.com/print/news/hong-kong/law-and-crime/article/3037090/hong-kong-police-and-paramedics-turn-each-other-anti
"Hong Kong police officers said they would ‘celebrate student’s death’
            ","Riot officers were filmed on Tuen Mun footbridge taunting protesters below, with one heard shouting ‘we are opening a bottle of champagne to celebrate [death of Chow Tsz-lok] tonight’.",10 Nov 2019 - 10:09PM,https://scmp.com/print/news/hong-kong/politics/article/3037087/hong-kong-protests-police-officer-reprimanded-after-he-was
