socialHeadline,headline,urlAlias,updatedDate
"""Don’t blame protesters or police for Hong Kong crisis""","""Don’t blame Hong Kong protesters or police: Carrie Lam and her team brought about this crisis""","""https://scmp.com/print/comment/letters/article/3038407/dont-blame-hong-kong-protesters-or-police-carrie-lam-and-her-team""",2019-11-20 23:00:03
"""US House approves Hong Kong rights bill, sends measure to Trump""","""US House approves Hong Kong rights bill, sends measure to Donald Trump to sign or veto""","""https://scmp.com/print/news/china/diplomacy/article/3038684/us-house-approves-hong-kong-rights-bill-sends-measure-donald""",2019-11-20 23:04:38
"""US lawmakers still have 150 other China-related bills to deliberate""","""After Hong Kong democracy act passes, US lawmakers still have 150 other China-related bills to deliberate""","""https://scmp.com/print/news/china/diplomacy/article/3038683/after-hong-kong-democracy-act-passes-us-lawmakers-still-have""",2019-11-20 22:26:26
"""Ex-UK consulate worker Simon Cheng ‘tortured’ in China""","""Ex-UK consulate worker Simon Cheng ‘tortured’ in China""","""https://scmp.com/print/video/hong-kong/3038680/ex-uk-consulate-worker-simon-cheng-tortured-china""",2019-11-20 21:37:55
"""Day of calm after week of chaos, but 100 still in campus stand-off""","""Rare day of calm after week of chaos and violence across Hong Kong, but 100 protesters still defying surrender in Polytechnic University stand-off""","""https://scmp.com/print/news/hong-kong/politics/article/3038669/rare-day-calm-after-week-chaos-and-violence-across-hong""",2019-11-20 21:35:14
"""Ex-British consulate worker detained in Shenzhen says he was tortured""","""Simon Cheng: former British consulate worker detained in Shenzhen claims he was tortured by mainland police""","""https://scmp.com/print/news/hong-kong/politics/article/3038670/simon-cheng-former-british-consulate-worker-detained""",2019-11-20 17:28:30
"""Justice department asks court to suspend mask ruling as unconstitutional""","""Hong Kong Department of Justice asks High Court to suspend ruling that anti-mask law is unconstitutional – as it scrambles to defend the legislation""","""https://scmp.com/print/news/hong-kong/law-and-crime/article/3038668/hong-kong-department-justice-asks-high-court-suspend""",2019-11-20 21:16:09
"""More than 200 defendants charged over protests brought to courts""","""Hong Kong protests: more than 200 defendants charged over stand-off outside PolyU brought to six courts""","""https://scmp.com/print/news/hong-kong/law-and-crime/article/3038661/hong-kong-protests-more-200-defendants-charged-over""",2019-11-20 20:27:43
"""US Senate rush to pass Hong Kong bill highlights growing concern over city""","""US Senate rush to pass Hong Kong democracy bill brings growing concerns over city’s future into focus""","""https://scmp.com/print/news/china/diplomacy/article/3038657/us-senate-rush-pass-hong-kong-democracy-bill-brings-growing""",2019-11-20 16:03:24
"""Clean-up crews move into PolyU""","""Clean-up crews move into PolyU""","""https://scmp.com/print/video/hong-kong/3038659/clean-crews-move-polyu""",2019-11-20 14:21:28
"""Hong Kong security chief ‘hindered efforts to de-escalate university stand-off’""","""Hong Kong protests: security chief accused of hampering efforts to de-escalate Polytechnic University stand-off with remarks that all inside will be arrested""","""https://scmp.com/print/news/hong-kong/politics/article/3038653/hong-kong-protests-security-chief-accused-hampering-efforts""",2019-11-20 16:12:24
"""Environment minister blames fires on the streets for dioxins in the air""","""Fires on the streets, not tear gas, to blame for dioxins in Hong Kong air, environment minister says""","""https://scmp.com/print/news/hong-kong/health-environment/article/3038647/fires-streets-not-tear-gas-blame-dioxins-hong""",2019-11-20 15:23:00
"""‘We would rather die than surrender’: last radicals in PolyU""","""Options running out for last Hong Kong protesters trapped in PolyU campus but some radicals would rather ‘die than surrender’""","""https://scmp.com/print/news/hong-kong/politics/article/3038645/options-running-out-last-hong-kong-protesters-trapped-polyu""",2019-11-20 16:12:24
"""Europe ‘reluctant to act over Hong Kong for fear of Beijing’s response’""","""Europe reluctant to do more about Hong Kong for fear of Beijing’s reaction, say diplomats""","""https://scmp.com/print/news/china/diplomacy/article/3038633/europe-reluctant-do-more-about-hong-kong-fear-beijings""",2019-11-20 13:35:50
"""HSBC to replace investment bank head as part of reshuffle""","""HSBC to replace investment bank head as part of management reshuffle as Noel Quinn moves to ‘remodel’ bank""","""https://scmp.com/print/business/companies/article/3038627/hsbc-replace-investment-bank-head-part-management-reshuffle-noel""",2019-11-20 15:12:02
"""Police charge couple accused of shouting profanities while man set on fire""","""Hong Kong police file disorderly conduct charge against couple accused of shouting profanities ‘in provocative way’ while man set on fire in Ma On Shan""","""https://scmp.com/print/news/hong-kong/law-and-crime/article/3038625/hong-kong-police-file-disorderly-conduct-charge""",2019-11-20 15:22:54
"""Hong Kong’s new police chief reports for duty""","""New Hong Kong’s police chief on duty after China appointment amid ongoing protests""","""https://scmp.com/print/video/hong-kong/3038609/new-hong-kongs-police-chief-duty-after-china-appointment-amid-ongoing""",2019-11-20 09:59:24
"""Hong Kong, China stocks fall on loan prime rate cuts, flare-up in Beijing-US tensions""","""China and Hong Kong stocks fall, as loan prime rate cuts weigh on banks and US-Beijing tensions flare up over protests""","""https://scmp.com/print/business/money/stock-talk/article/3038610/china-and-hong-kong-stocks-fall-loan-prime-rate-cuts""",2019-11-20 09:47:52
"""China vows ‘forceful’ response to US bill on HK rights""","""China threatens ‘forceful measures’ in response to US bill on Hong Kong rights""","""https://scmp.com/print/video/hong-kong/3038608/china-threatens-forceful-measures-response-us-bill-hong-kong-rights""",2019-11-20 21:16:25
"""Business of Design Week cancelled amid continuing protests""","""Cancelled: Business of Design Week in Hong Kong, featuring Tom Dixon, Thomas Heatherwick and other star designers, falls victim to ongoing protests""","""https://scmp.com/print/lifestyle/arts-culture/article/3038579/cancelled-business-design-week-hong-kong-featuring-tom-dixon""",2019-11-20 08:15:31
"""Taiwanese girl on bail after leaving Hong Kong campus stand-off""","""Taiwanese schoolgirl released on bail after leaving Hong Kong Polytechnic campus stand-off""","""https://scmp.com/print/news/china/politics/article/3038573/taiwan-schoolgirl-released-bail-after-leaving-hong-kong""",2019-11-20 09:54:30
"""US Senate passes Hong Kong democracy bill""","""US Senate unanimously passes Hong Kong democracy bill in a win for Washington’s China hardliners""","""https://scmp.com/print/video/world/3038559/us-senate-unanimously-passes-hong-kong-democracy-bill-win-washingtons-china""",2019-11-20 21:13:52
"""Hundreds take to streets in regular lunchtime protest""","""Hong Kong protests: traffic at a standstill as hundreds continue lunchtime disruption across city""","""https://scmp.com/print/news/hong-kong/transport/article/3038545/hong-kong-protests-traffic-standstill-hundreds-continue""",2019-11-20 08:46:41
"""China summons US diplomat, vows to retaliate over Congress’ Hong Kong act""","""China summons US diplomat, vows to retaliate if Donald Trump signs Hong Kong democracy act into law""","""https://scmp.com/print/news/china/diplomacy/article/3038516/china-will-retaliate-if-donald-trump-signs-hong-kong-human""",2019-11-20 16:05:51
"""Why Beijing’s angry reaction to Hong Kong mask ruling sparks concern""","""Why Beijing’s angry reaction to Hong Kong High Court’s mask ban decision prompts fears it will overturn ruling""","""https://scmp.com/print/news/hong-kong/politics/article/3038471/high-courts-mask-ban-decision-beijings-angry-reaction""",2019-11-20 04:35:55
"""Hong Kong police respond to menacing mob attacks with more lethal weapons""","""Police respond to more menacing mob attacks by bringing out lethal anti-riot weapons not used earlier in unrest""","""https://scmp.com/print/news/hong-kong/law-and-crime/article/3038453/police-respond-deadlier-mob-attacks-bringing-out""",2019-11-20 05:27:59
"""Violent protesters attacking police can’t be seen as ‘kids’""","""Violent Hong Kong protesters attacking police are no ‘kids’""","""https://scmp.com/print/comment/letters/article/3038330/violent-hong-kong-protesters-attacking-police-are-no-kids""",2019-11-20 03:00:06
"""Beijing’s view on mask law ruling ‘could spell end of one country, two systems’""","""Hong Kong mask law: Beijing claim on ‘unconstitutional’ ruling could spell end of ‘one country, two systems’, legal heavyweights warn""","""https://scmp.com/print/news/hong-kong/politics/article/3038479/hong-kong-mask-law-beijing-claim-unconstitutional-ruling""",2019-11-20 04:03:13
"""Firms warn of profit drops as impact of protests spreads to more sectors""","""From Maserati importers to newspaper owners, companies warn of falling profits as economic impact of Hong Kong’s political crisis spreads to more sectors""","""https://scmp.com/print/business/companies/article/3038415/maserati-importers-newspaper-owners-companies-warn-falling""",2019-11-20 15:12:01
"""Hang Seng falls as Beijing warns Donald Trump not to sign bill supporting Hong Kong protesters, threatening US-China mini trade deal""","""Hang Seng falls as Beijing warns Donald Trump about bill supporting Hong Kong protesters, threatening US-China mini trade deal""","""https://scmp.com/print/business/markets/article/3038497/stocks-blog-can-hang-seng-run-fourth-straight-session-gains""",2019-11-20 09:04:50
"""Singapore and China eye deeper ties in Greater Bay Area project""","""Singapore and China eye deeper ties in Greater Bay Area project""","""https://scmp.com/print/week-asia/economics/article/3038455/singapore-and-china-eye-deeper-ties-greater-bay-area-project""",2019-11-20 15:26:40
"""Protesters heed online calls to ‘paralyse Hong Kong’ by disrupting road and rail""","""Hong Kong protesters respond to online calls to ‘paralyse’ city by disrupting traffic and rail services""","""https://scmp.com/print/news/hong-kong/politics/article/3038495/hong-kong-protests-radicals-respond-online-calls-paralyse""",2019-11-20 07:30:59
"""Top UK official to discuss Hong Kong situation with France and Germany""","""UK foreign minister Dominic Raab to raise Hong Kong protests in talks with French and German counterparts""","""https://scmp.com/print/news/china/diplomacy/article/3038494/uk-foreign-minister-dominic-raab-raise-hong-kong-protests""",2019-11-20 08:27:02
"""Hong Kong protest violence is wrong, so is police brutality""","""Hong Kong protest violence cannot be condoned, but neither can police brutality""","""https://scmp.com/print/comment/letters/article/3038360/hong-kong-protest-violence-cannot-be-condoned-neither-can-police""",2019-11-20 00:00:04
"""Why Chinese parents are taking their children out of Hong Kong schools""","""Why Hong Kong’s protests are pushing some Chinese parents to pull their children from the city’s schools""","""https://scmp.com/print/news/china/society/article/3038446/why-hong-kongs-protests-are-pushing-some-chinese-parents-pull""",2019-11-20 00:19:09
"""Protesters and police must take a step back, or all is lost""","""Hong Kong protesters and police must both take a step back, or all is lost""","""https://scmp.com/print/comment/letters/article/3038271/hong-kong-protesters-and-police-must-both-take-step-back-or-all""",2019-11-19 23:30:10
"""Empty stores, delayed openings: Hong Kong protests hit luxury retail hard""","""Chanel, Rimowa delay new stores, Prada moving out, sales plummet at Moncler, Gucci – will Hong Kong become city of ‘ghost malls’?""","""https://scmp.com/print/lifestyle/fashion-beauty/article/3038400/chanel-rimowa-delay-new-stores-prada-moving-out-sales""",2019-11-20 08:44:49
"""Others talk about democracy; young Hongkongers fight for it""","""Hong Kong’s protesters fight for the democracy that others only talk about""","""https://scmp.com/print/comment/letters/article/3038268/hong-kongs-protesters-fight-democracy-others-only-talk-about""",2019-11-19 23:00:07
"""Trump set to have final say on Hong Kong democracy act as Senate passes it""","""Donald Trump set to have final say on Hong Kong democracy act as Senate passes it""","""https://scmp.com/print/news/hong-kong/politics/article/3038484/us-senate-support-hong-kong-democracy-bill-hits-49pc-amid""",2019-11-20 10:52:52
"""Police chase down protesters trying to escape PolyU""","""Hong Kong police chase down protesters trying to escape from Polytechnic University""","""https://scmp.com/print/video/hong-kong/3038483/hong-kong-police-chase-down-protesters-trying-escape-polytechnic-university""",2019-11-19 17:26:00
"""Police investigate alleged attack on politician Albert Ho""","""Police investigate alleged attack on Hong Kong pro-democracy politician Albert Ho""","""https://scmp.com/print/news/hong-kong/politics/article/3038480/police-investigate-alleged-attack-hong-kong-pro-democracy""",2019-11-20 13:04:54
"""Up to 100 activists still holed up as Hong Kong campus stand-off continues""","""Hong Kong protests: bitter stand-off inside Polytechnic University continues with as many as 100 activists still on campus, determined to evade capture""","""https://scmp.com/print/news/hong-kong/politics/article/3038478/hong-kong-protests-bitter-stand-inside-polytechnic""",2019-11-19 18:44:11
